X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.278500407427643,43.153663001496277,127908045,10000000059,AIDS Bureau,HCV Team,Niagara Health System,,,,1200 Fourth Avenue,,Practice Location,St. Catharines,L2S0A9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753670
-79.232118694016535,43.169296106394881,127908271,10000000060,AIDS Bureau,AT site,Niagara Region Public Health Department,,,,277 Welland Avenue,"Unit 4, St. Catharines Sexual Health Centre",Practice Location,St. Catharines,L2R2P7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753671
-79.463297164167045,46.316028330953664,127908272,10000000061,AIDS Bureau,AT site,North Bay Parry Sound District Health Unit,,,,681 Commercial Street,,Practice Location,North Bay,P1B4E7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753672
-82.002496459886729,43.09632726166214,127908273,10000000062,AIDS Bureau,"CBAESP, HCV Team",North Lambton Community Health Centre,,,,59 King Street West,Suite 3,Practice Location,Lambton Shores,N0N1J0,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753673
-94.48997629540635,49.767777438983707,127908274,10000000063,AIDS Bureau,AT site,Northwestern Health Unit,,,,210 First Street South,,Practice Location,Kenora,P9N2K4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753674
-79.393408292028056,43.7079783942105,127908275,10000000064,AIDS Bureau,CBAESP,Ontario Aboriginal HIV/AIDS Strategy,,,,164 Eglington Avenue East,Suite 301,Practice Location,Toronto,M4P1A6,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753675
-79.376511382501519,43.661035086757188,127908276,10000000065,AIDS Bureau,CBAESP,Ontario AIDS Network,,,,296 Jarvis Street,Unit 5,Practice Location,Toronto,M5A1T7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753676
-79.380372990220323,43.734626599486958,127908277,10000000066,AIDS Bureau,CBAESP,"Ontario Association of the Deaf, Deaf Outreach Project",,,,2395 Bayview Avenue,,Practice Location,Toronto,M2L1A2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753677
-79.375082982627603,43.667649687984806,127908278,10000000067,AIDS Bureau,CBAESP,Ontario HIV & Substance Use Training Program,,,,490 Sherbourne Street,2nd Floor,Practice Location,Toronto,M4X1K9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753678
-79.392757289723178,43.684194390068939,127908279,10000000068,AIDS Bureau,CBAESP,Ontario HIV Treatment Network,,,,1300 Yonge Street,Suite 600,Practice Location,Toronto,M4T1X3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753679
-81.248355413933922,42.983122178724436,127908280,10000000069,AIDS Bureau,CBAESP,Ontario Organizational Development Program,,,,186 King Street,Unit 30,Practice Location,London,N6A1C7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753680
-75.69685423755466,45.416307254039175,127908281,10000000070,AIDS Bureau,CBAESP,Ottawa Gay Men's Wellness Initiative (Operating as MAX Ottawa),,,,251 Bank Street,5th Floor,Practice Location,Ottawa,K2P1X3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753681
-75.647625619951981,45.40122395353432,127908282,10000000071,AIDS Bureau,"CBAESP, HIV Outpatient Clinic",Ottawa Hospital Research Institute Division of Infectious Diseases Ottawa Hospital General Campus,,,,501 Smyth Road,,Practice Location,Ottawa,K1H8L6,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753682
-75.69009283651954,45.430514856749241,127908283,10000000072,AIDS Bureau,AT site,Ottawa Public Health,,,,179 Clarence Street,,Practice Location,Ottawa,K1N5P7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753683
-79.42946639770085,43.641824280927395,127908284,10000000073,AIDS Bureau,"CBAESP, AT site",Parkdale Community Health Centre,,,,1229 Queen Street West,,Practice Location,Toronto,M6K1L2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753684
-79.727010593977042,43.658607669989294,127908285,10000000074,AIDS Bureau,CBAESP,Peel HIV/AIDS Network,,,,7700 Hurontario Street,Unit 601,Practice Location,Brampton,L6Y4M3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753685
-78.320315999811768,44.301799947128423,127908286,10000000075,AIDS Bureau,"CBAESP, HCV Team",Peterborough AIDS Resource Network,,,,159 King Street,Suite 302,Practice Location,Peterborough,K9J2R8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753686
-79.397302689882579,43.669540587286299,127908287,10000000076,AIDS Bureau,AT site,Planned Parenthood of Toronto,,,,36 Prince Arthur Avenue,Unit B,Practice Location,Toronto,M5R1A9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753687
-81.328666026184209,48.472491967848178,127908288,10000000077,AIDS Bureau,"CBAESP, AT Site",Porcupine Health Unit,,,,169 Pine Street South,P.O. Bag 2012,Practice Location,Timmins,P4N8B7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753688
-79.232751093713105,43.163357805307697,127908289,10000000078,AIDS Bureau,CBAESP,Positive Living Niagara,,,,120 Queenston Street,,Practice Location,St. Catharines,L2R2Z3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753689
-79.364551578126054,43.654664286192506,127908290,10000000079,AIDS Bureau,"CBAESP, HCV Team",Prisoners with HIV/AIDS Support Action Network,,,,526 Richmond Street East,,Practice Location,Toronto,M5A1R3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753690
-79.378321182439876,43.653767785397022,127908291,10000000080,AIDS Bureau,CBAESP,Providence St. Joseph's and St. Michael's Healthcare Department of Family and Community Medicine,,,,30 Bond Street,,Practice Location,Toronto,M5B1W8,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753691
-79.365585478869988,43.659376286972176,127908292,10000000081,AIDS Bureau,CBAESP,Regent Park Community Health Centre,,,,465 Dundas Street East,,Practice Location,Toronto,M5A2B2,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753692
-79.719582196933786,43.718318980789149,127908293,10000000082,AIDS Bureau,AT site,Region of Peel Public Health - Brampton Health and Sexuality Clinic,,,,150 Central Park Drive,Unit 09,Practice Location,Brampton,L6T2T9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753693
-79.638417859091305,43.583151960897766,127908294,10000000083,AIDS Bureau,AT site,Region of Peel Public Health - Fairview Clinic,,,,325 Central Parkway West,Unit 21,Practice Location,Mississauga,L5B3X9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753694
-79.637504870843898,43.718972784752914,127908295,10000000084,AIDS Bureau,AT site,Region of Peel Public Health - Malton Clinic,,,,7205 Goreway Drive,"Suite B7, Lower Level",Practice Location,Mississauga,L4T2T9,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753695
-79.757561396809365,43.581058154959202,127908296,10000000085,AIDS Bureau,AT site,Region of Peel Public Health - Meadowvale Clinic,,,,6975 Meadowvale Town Centre Circle,Unit 3,Practice Location,Mississauga,L5N2W7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753696
-80.520836928230992,43.462918998089528,127908297,10000000086,AIDS Bureau,AT site,Region of Waterloo Public Health,,,,99 Regina Street South,2nd Floor,Practice Location,Waterloo,N2J4V3,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753697
-81.248355413933922,42.983122178724436,127908298,10000000087,AIDS Bureau,CBAESP,Regional HIV/AIDS Connection,,,,186 King Street,Unit 30,Practice Location,London,N6A1C7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753698
-80.992499981950459,46.491099980843465,127908299,10000000088,AIDS Bureau,"CBAESP, HCV Team",Réseau Access Network,,,,111 rue Larch Street,Unit/bureau 401,Practice Location,Sudbury,P3E4T5,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753699
-79.572196650060405,43.719335787871792,127908300,10000000089,AIDS Bureau,AT site,Rexdale Community Health Centre,,,,8 Taber Road,,Practice Location,Toronto,M9W3A4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753700
-75.683515234235273,45.429303856819594,127908301,10000000090,AIDS Bureau,"CBAESP, AT Site, HIV Outpatient Clinic",Sandy Hill Community Health Centre,,,,221 Nelson Street,,Practice Location,Ottawa,K1N1C7,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753701
-80.521336228902626,43.468610799062304,127908302,10000000091,AIDS Bureau,HCV Team,Sanguen Health Centre,,,,29 Young Street East,,Practice Location,Waterloo,N2J2L4,,2020-04-03T20:42:44.000Z,2020-04-03T20:42:44.000Z,753702
